,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,便利商店,年底人口數,土地面積,人口密度
花蓮市,27569,17713735,643,424,200,819,772.90,120.29,99,100955,29.4095,3433
光復鄉,2264,1074732,475,352,182,593,487.87,102.77,4,12185,157.11,78
玉里鎮,4378,2366898,541,370,179,676,642.38,118.82,13,22878,252.3719,91
新城鄉,4891,2738875,560,415,196,733,600.06,107.16,18,20252,29.4095,689
吉安鄉,22400,13218779,590,409,197,762,657.86,111.48,49,83122,65.2582,1274
壽豐鄉,3456,1769446,512,357,177,609,640.27,125.05,13,17351,218.4448,79
鳳林鎮,2161,1105396,512,373,184,667,543.73,106.30,6,10679,120.5181,89
豐濱鄉,665,261237,393,322,148,500,410.98,104.62,1,4327,162.4332,27
瑞穗鄉,1875,916429,489,351,170,601,616.39,126.11,9,11123,135.5862,82
富里鄉,1518,696089,459,330,166,580,484.79,105.72,3,9812,176.3705,56
秀林鄉,3184,1405155,441,364,177,568,404.80,91.73,10,16555,1641.8555,10
萬榮鄉,1209,491073,406,334,182,520,347.71,85.60,0,6152,618.491,10
卓溪鄉,1044,455126,436,379,209,566,332.95,76.37,1,5967,1021.313,6
臺東市,24007,14731959,614,430,206,807,650.67,106.03,89,103943,109.7691,947
成功鎮,2037,1021338,501,351,180,612,910.33,181.56,6,13330,143.9939,93
關山鎮,2772,1383901,499,367,186,627,572.59,114.69,5,8274,58.7351,141
卑南鄉,2772,1383901,499,367,186,627,572.59,114.69,8,16833,412.6871,41
大武鄉,852,412008,484,374,191,619,467.34,96.64,3,5635,69.1454,81
太麻里鄉,1582,761639,481,381,195,604,472.35,98.11,8,10819,96.6523,112
東河鄉,1068,536410,502,348,182,609,965.19,192.17,3,8106,210.1908,39
長濱鄉,960,415638,433,329,155,559,474.33,109.56,1,6791,155.1868,44
鹿野鄉,1165,589134,506,369,182,620,588.27,116.33,3,7482,89.698,83
池上鄉,1264,650879,515,362,174,654,551.22,107.05,5,7976,82.6854,96
綠島鄉,926,598741,647,465,202,890,678.72,104.97,2,4124,15.0919,273
延平鄉,608,290044,477,394,232,633,401.02,84.06,0,3591,455.8805,8
海端鄉,670,321704,480,407,236,629,362.74,75.55,1,4151,880.0382,5
達仁鄉,529,268234,507,422,250,636,419.62,82.76,2,3437,306.4454,11
金峰鄉,577,288885,501,419,234,664,395.36,78.97,0,3663,380.6635,10
蘭嶼鄉,865,458622,530,394,181,729,549.62,103.66,2,5231,48.3892,108