r區域,r平均數,r便利商店,r人口密度,區域,平均數,便利商店,人口密度
松山里,1187,262,20822,N,A,A,A
大安區,1387,367,25649,N,A,A,A
中正區,1219,285,19803,N,A,A,A
萬華區,734,208,19952,N,A,A,A
大同區,863,158,21257,N,A,A,A
中山區,1102,459,15755,N,A,A,A
文山區,1012,197,8302,N,A,A,A
南港區,951,120,5301,N,A,A,A
內湖區,1088,308,8762,N,A,A,A
士林區,1006,302,4324,N,A,A,A
北投區,951,199,4307,N,A,A,A
信義區,1028,252,18514,N,A,A,A
新莊區,686,403,21348,N,A,A,A
林口區,998,112,2301,N,A,A,A
五股區,616,97,2595,N,A,A,A
蘆洲區,645,183,27100,N,A,A,A
三重區,658,443,23395,N,A,A,A
泰山區,673,73,4042,N,A,A,A
新店區,864,312,2493,N,A,A,A
石碇區,527,5,52,N,C,B,B
深坑區,663,24,1149,N,A,B,B
坪林里,536,3,39,N,B,B,B
烏來區,570,8,20,N,B,B,B
板橋區,769,590,23888,N,A,A,A
三峽區,678,101,606,N,A,A,B
鶯歌區,564,76,4172,N,B,A,A
樹林區,647,177,5491,N,A,A,A
中和區,742,461,20162,N,A,A,A
土城區,628,224,8035,N,A,A,A
瑞芳區,490,38,544,N,C,A,B
平溪區,495,4,61,N,C,B,B
雙溪區,535,2,56,N,B,B,B
貢寮區,490,12,115,N,C,B,B
金山區,504,14,424,N,C,B,B
萬里里,497,11,339,N,C,B,B
淡水區,751,232,2621,N,A,A,A
汐止區,747,222,2892,N,A,A,A
三芝區,480,12,339,N,C,B,B
石門區,489,3,218,N,C,B,B
八里區,586,49,1017,N,B,A,B
永和區,868,199,37622,N,A,A,A
宜蘭市,654,98,3226,N,A,A,A
頭城鎮,521,23,283,N,C,B,B
礁溪鄉,568,30,346,N,B,B,B
壯圍鄉,550,9,634,N,B,B,B
員山鄉,555,9,286,N,B,B,B
羅東鎮,640,65,6235,N,A,A,A
五結鄉,571,28,1043,N,B,B,B
冬山鄉,580,23,663,N,B,B,B
蘇澳鎮,517,36,430,N,C,A,B
三星鄉,581,13,147,N,B,B,B
大同鄉,487,2,9,N,C,B,B
南澳鄉,460,3,8,N,C,B,B
桃園區,818,481,13184,N,A,A,A
大溪區,597,75,902,N,B,A,B
中壢區,735,495,5522,N,A,A,A
楊梅區,646,157,1983,N,A,A,B
蘆竹區,803,207,2204,N,A,A,A
大園區,635,109,1055,N,A,A,B
龜山區,715,224,2316,N,A,A,A
八德區,632,186,6219,N,A,A,A
龍潭區,685,128,1654,N,A,A,B
平鎮區,674,199,4779,N,A,A,A
新屋區,547,31,577,N,B,A,B
觀音區,534,65,796,N,B,A,B
復興區,508,4,36,N,C,B,B
中正區,561,84,4960,N,B,A,A
七堵區,576,52,947,N,B,A,B
暖暖區,587,30,1682,N,B,B,B
仁愛區,633,81,9884,N,A,A,A
中山區,553,42,4348,N,B,A,A
安樂區,654,84,4494,N,A,A,A
信義區,627,53,4972,N,A,A,A
東　區,1412,298,6601,N,A,A,A
北　區,883,265,9687,N,A,A,A
香山區,785,72,1434,N,A,A,B
竹東鎮,831,82,1805,N,A,A,B
關西鎮,589,16,218,N,B,B,B
新埔鎮,678,29,457,N,A,B,B
竹北市,1495,234,4403,N,A,A,A
湖口鄉,607,120,1362,N,A,A,B
橫山鄉,547,10,186,N,B,B,B
新豐鄉,670,58,1249,N,A,A,B
芎林鄉,772,18,489,N,A,B,B
寶山鄉,1152,12,224,N,A,B,B
北埔鄉,580,7,174,N,B,B,B
峨眉鄉,558,1,113,N,B,B,B
尖石鄉,475,2,18,N,C,B,B
五峰鄉,431,1,20,N,C,B,B
苗栗市,659,93,2295,W,A,A,A
苑裡鎮,523,31,648,W,C,A,B
通霄鎮,508,13,301,W,C,B,B
公館鄉,576,21,446,W,B,B,B
銅鑼鄉,528,14,215,W,C,B,B
三義鄉,524,15,222,W,C,B,B
西湖鄉,543,1,160,W,B,B,B
頭屋鄉,559,6,191,W,B,B,B
竹南鎮,745,86,2326,W,A,A,A
頭份市,704,100,1971,W,A,A,B
造橋鄉,519,10,249,W,C,B,B
後龍鎮,556,27,458,W,B,B,B
三灣鄉,516,4,119,W,C,B,B
南庄鄉,526,6,56,W,C,B,B
大湖鄉,518,11,149,W,C,B,B
卓蘭鎮,519,9,208,W,C,B,B
獅潭鄉,532,3,52,W,B,B,B
泰安鄉,518,3,9,W,C,B,B
中區,725,78,20094,W,A,A,A
東區,630,69,8140,W,A,A,A
西區,899,129,18503,W,A,A,A
南　區,732,110,19764,W,A,A,A
北　區,754,179,20744,W,A,A,A
西屯區,943,290,5794,W,A,A,A
南屯區,937,167,5656,W,A,A,A
北屯區,760,235,4635,W,A,A,A
豐原區,611,130,4000,W,A,A,A
東勢區,530,27,412,W,B,B,B
大甲區,590,54,1290,W,B,A,B
清水區,576,46,1377,W,B,A,B
沙鹿區,687,82,2374,W,A,A,A
梧棲區,598,55,3584,W,B,A,A
神岡區,531,48,1850,W,B,A,B
后里區,554,42,915,W,B,A,B
大雅區,613,68,2947,W,A,A,A
潭子區,588,79,4227,W,B,A,A
新社區,526,9,343,W,C,B,B
石岡區,524,8,792,W,C,B,B
外埔區,541,7,744,W,B,B,B
大安區,511,5,675,W,C,B,B
烏日區,624,61,1780,W,A,A,B
大肚區,547,36,1526,W,B,A,B
龍井區,591,57,2050,W,B,A,A
霧峰區,548,55,659,W,B,A,B
太平區,570,148,1620,W,B,A,B
大里區,595,158,7351,W,B,A,A
和平區,512,5,10,W,C,B,B
彰化市,670,198,3478,W,A,A,A
鹿港鎮,572,54,2175,W,B,A,A
和美鎮,565,56,2243,W,B,A,A
北斗鎮,585,18,1730,W,B,B,B
員林市,650,85,3066,W,A,A,A
溪湖鎮,564,31,1695,W,B,A,B
田中鎮,555,24,1159,W,B,B,B
二林鎮,563,27,529,W,B,B,B
線西鄉,505,6,912,W,C,B,B
伸港鄉,498,10,1695,W,C,B,B
福興鄉,521,27,921,W,C,B,B
秀水鄉,561,14,1317,W,B,B,B
花壇鄉,559,22,1232,W,B,B,B
芬園鄉,492,6,600,W,C,B,B
大村鄉,532,15,1294,W,B,B,B
埔鹽鄉,515,8,821,W,C,B,B
埔心鄉,523,18,1624,W,C,B,B
永靖鄉,525,16,1738,W,C,B,B
社頭鄉,529,22,1163,W,B,B,B
二水鄉,521,7,488,W,C,B,B
田尾鄉,538,8,1099,W,B,B,B
埤頭鄉,550,14,695,W,B,B,B
芳苑鄉,492,10,351,W,C,B,B
大城鄉,517,3,247,W,C,B,B
竹塘鄉,543,4,346,W,B,B,B
溪州鄉,535,9,382,W,B,B,B
斗六市,670,109,1153,W,A,A,B
斗南鎮,598,28,905,W,B,B,B
虎尾鎮,687,69,1028,W,A,A,B
西螺鎮,588,34,904,W,B,A,B
土庫鎮,594,11,570,W,B,B,B
北港鎮,614,26,926,W,A,B,B
古坑鄉,531,13,183,W,B,B,B
大埤鄉,532,6,410,W,B,B,B
莿桐鄉,533,16,550,W,B,B,B
林內鄉,483,8,456,W,C,B,B
二崙鄉,563,6,431,W,B,B,B
崙背鄉,605,12,403,W,A,B,B
麥寮鄉,649,26,607,W,A,B,B
東勢鄉,586,4,286,W,B,B,B
褒忠鄉,576,5,331,W,B,B,B
臺西鄉,566,10,417,W,B,B,B
元長鄉,568,5,338,W,B,B,B
四湖鄉,543,6,284,W,B,B,B
口湖鄉,533,7,323,W,B,B,B
水林鄉,532,2,325,W,B,B,B
南投市,612,74,1372,W,A,A,B
埔里鎮,538,66,481,W,B,A,B
草屯鎮,599,67,932,W,B,A,B
竹山鎮,546,34,213,W,B,A,B
集集鎮,570,6,206,W,B,B,B
名間鄉,502,17,444,W,C,B,B
鹿谷鄉,576,12,119,W,B,B,B
中寮鄉,479,2,96,W,C,B,B
魚池鄉,487,15,125,W,C,B,B
國姓鄉,452,5,100,W,C,B,B
水里鄉,526,9,156,W,C,B,B
信義鄉,514,2,11,W,C,B,B
仁愛鄉,499,13,12,W,C,B,B
花蓮市,643,99,3433,W,A,A,A
光復鄉,475,4,78,W,C,B,B
玉里鎮,541,13,91,W,B,B,B
新城鄉,560,18,689,W,B,B,B
吉安鄉,590,49,1274,W,B,A,B
壽豐鄉,512,13,79,W,C,B,B
鳳林鎮,512,6,89,W,C,B,B
豐濱鄉,393,1,27,W,C,B,B
瑞穗鄉,489,9,82,W,C,B,B
富里鄉,459,3,56,W,C,B,B
秀林鄉,441,10,10,W,C,B,B
萬榮鄉,406,0,10,W,C,B,B
卓溪鄉,436,1,6,W,C,B,B
東　區,875,158,13603,S,A,A,A
南　區,603,106,4487,S,A,A,A
北　區,802,94,12259,S,A,A,A
安南區,608,103,1838,S,A,A,B
安平區,781,50,6095,S,A,A,A
中西區,847,107,12413,S,A,A,A
新營區,688,43,1959,S,A,A,B
鹽水區,541,11,474,S,B,B,B
白河區,533,16,211,S,B,B,B
柳營區,561,10,336,S,B,B,B
後壁區,558,7,309,S,B,B,B
東山區,521,10,158,S,C,B,B
麻豆區,622,34,804,S,A,A,B
下營區,562,5,688,S,B,B,B
六甲區,558,9,318,S,B,B,B
官田區,546,11,297,S,B,B,B
大內區,473,3,129,S,C,B,B
佳里區,608,38,1502,S,A,A,B
西港區,534,9,725,S,B,B,B
七股區,495,4,198,S,C,B,B
將軍區,487,6,449,S,C,B,B
北門區,501,1,236,S,C,B,B
學甲區,530,9,463,S,B,B,B
新化區,584,20,690,S,B,B,B
善化區,878,36,927,S,A,A,B
新市區,666,41,785,S,A,A,B
安定區,582,23,963,S,B,B,B
山上區,475,4,251,S,C,B,B
玉井區,551,5,175,S,B,B,B
楠西區,486,4,82,S,C,B,B
南化區,507,2,48,S,C,B,B
左鎮區,467,0,59,S,C,B,B
仁德區,627,71,1507,S,A,A,B
歸仁區,602,39,1219,S,A,A,B
關廟區,529,19,631,S,B,B,B
龍崎區,514,2,57,S,C,B,B
永康區,700,209,5826,S,A,A,A
鹽埕區,643,27,16180,S,A,B,A
鼓山區,873,127,9518,S,A,A,A
左營區,799,154,10129,S,A,A,A
楠梓區,658,133,7362,S,A,A,A
三民區,715,287,16831,S,A,A,A
新興區,850,90,24986,S,A,A,A
前金區,867,55,14223,S,A,A,A
苓雅區,761,173,20187,S,A,A,A
前鎮區,677,142,9561,S,A,A,A
旗津區,488,10,18583,S,C,B,A
小港區,609,82,3434,S,A,A,A
鳳山區,640,222,13377,S,A,A,A
鳥松區,923,30,1805,S,A,B,B
仁武區,652,62,2594,S,A,A,A
大社區,564,23,1281,S,B,B,B
大樹區,515,16,616,S,C,B,B
大寮區,527,84,1576,S,C,A,B
林園區,540,40,2134,S,B,A,A
岡山區,601,76,2001,S,A,A,A
茄萣區,478,13,1891,S,C,B,B
永安區,500,3,602,S,C,B,B
橋頭區,640,27,1546,S,A,B,B
梓官區,511,17,3028,S,C,B,A
田寮區,477,2,73,S,C,B,B
阿蓮區,542,10,809,S,B,B,B
路竹區,591,33,1057,S,B,A,B
燕巢區,532,14,447,S,B,B,B
彌陀區,483,7,1261,S,C,B,B
湖內區,525,14,1471,S,C,B,B
旗山區,535,21,372,S,B,B,B
六龜區,487,4,63,S,C,B,B
內門區,450,6,144,S,C,B,B
美濃區,554,10,316,S,B,B,B
杉林區,460,3,109,S,C,B,B
甲仙區,447,4,47,S,C,B,B
茂林區,622,1,10,S,A,B,B
桃源區,504,1,5,S,C,B,B
那瑪夏區,549,1,12,S,B,B,B
東　區,735,84,3945,S,A,A,A
西　區,667,128,4880,S,A,A,A
屏東市,625,145,3010,S,A,A,A
潮州鎮,583,39,1262,S,B,A,B
東港鎮,559,31,1570,S,B,A,B
恆春鎮,534,37,220,S,B,A,B
萬丹鄉,563,20,865,S,B,B,B
長治鄉,580,14,736,S,B,B,B
麟洛鄉,589,4,654,S,B,B,B
九如鄉,533,13,517,S,B,B,B
里港鄉,550,10,373,S,B,B,B
鹽埔鄉,509,9,382,S,C,B,B
高樹鄉,485,6,260,S,C,B,B
萬巒鄉,539,8,328,S,B,B,B
內埔鄉,533,39,642,S,B,A,B
竹田鄉,528,3,561,S,C,B,B
新埤鄉,489,5,160,S,C,B,B
枋寮鄉,509,17,403,S,C,B,B
新園鄉,521,11,873,S,C,B,B
崁頂鄉,518,5,488,S,C,B,B
林邊鄉,543,8,1090,S,B,B,B
南州鄉,542,6,534,S,B,B,B
佳冬鄉,487,7,591,S,C,B,B
琉球鄉,529,3,1780,S,B,B,B
車城鄉,448,8,164,S,C,B,B
滿州鄉,456,2,52,S,C,B,B
枋山鄉,472,9,298,S,C,B,B
三地門鄉,463,1,39,S,C,B,B
霧臺鄉,476,1,12,S,C,B,B
瑪家鄉,507,1,85,S,C,B,B
泰武鄉,497,1,45,S,C,B,B
來義鄉,494,0,44,S,C,B,B
春日鄉,519,1,31,S,C,B,B
獅子鄉,509,1,16,S,C,B,B
牡丹鄉,514,1,27,S,C,B,B
朴子市,666,34,832,S,A,A,B
布袋鎮,540,15,413,S,B,B,B
大林鎮,600,24,469,S,B,B,B
民雄鄉,597,52,827,S,B,A,B
溪口鄉,526,2,416,S,C,B,B
新港鄉,597,13,465,S,B,B,B
六腳鄉,545,5,350,S,B,B,B
東石鄉,493,6,288,S,C,B,B
義竹鄉,554,3,217,S,B,B,B
鹿草鄉,542,3,270,S,B,B,B
太保市,665,24,577,S,A,B,B
水上鄉,547,27,702,S,B,B,B
中埔鄉,537,22,337,S,B,B,B
竹崎鄉,522,11,211,S,C,B,B
梅山鄉,538,11,153,S,B,B,B
番路鄉,524,6,94,S,C,B,B
大埔鄉,502,1,26,S,C,B,B
阿里山鄉,508,1,13,S,C,B,B
馬公市,717,53,1862,S,A,A,B
湖西鄉,609,5,464,S,A,B,B
白沙鄉,592,3,497,S,B,B,B
西嶼鄉,617,4,446,S,A,B,B
望安鄉,621,1,393,S,A,B,B
七美鄉,680,1,553,S,A,B,B
臺東市,614,89,947,S,A,A,B
成功鎮,501,6,93,S,C,B,B
關山鎮,499,5,141,S,C,B,B
卑南鄉,499,8,41,S,C,B,B
大武鄉,484,3,81,S,C,B,B
太麻里鄉,481,8,112,S,C,B,B
東河鄉,502,3,39,S,C,B,B
長濱鄉,433,1,44,S,C,B,B
鹿野鄉,506,3,83,S,C,B,B
池上鄉,515,5,96,S,C,B,B
綠島鄉,647,2,273,S,A,B,B
延平鄉,477,0,8,S,C,B,B
海端鄉,480,1,5,S,C,B,B
達仁鄉,507,2,11,S,C,B,B
金峰鄉,501,0,10,S,C,B,B
蘭嶼鄉,530,2,108,S,B,B,B